 Symbol     Z      N      A               be           Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   Mg       12     10     22          -168.086338               -4.038413              -14.023974             0.254232             0.259726               0.256583               0.348949                   0.266784                      0.615733                   1.913915                1.943538              3.011067             2.853430               2.940462              -0.157637              3.125984          7.322081       10.827390       17.339743      30.046288          -5.103269            
   Mg       12     12     24          -193.934294               -7.038417              -11.640682             0.299046             0.296802               0.297935               0.408817                   0.397393                      0.806209                   1.889683                1.945044              3.005036             2.973933               2.989525              -0.031103              3.117073         10.581075       17.388412       14.868269      25.847956          -8.375346            
   Mg       12     14     26          -214.625089              -10.051991               -9.752129            -0.130320            -0.117021              -0.123012              -0.173328                  -0.189866                     -0.363194                   1.781934                1.906996              2.964030             3.030916               3.000231               0.066886              3.074414         13.215733       22.893024       12.271417      20.690795          -9.779207            
   Mg       12     16     28          -231.543563              -12.613394               -7.194297            -0.000005            -0.000003              -0.000004              -0.000007                  -0.000006                     -0.000013                   1.720074                1.847442              2.971142             3.137443               3.067276               0.166301              3.078130         15.567304       27.737019       10.336456      16.918474         -11.511498            
   Mg       12     18     30          -243.481238              -14.991850               -5.296843            -0.000003            -0.000001              -0.000002              -0.000004                  -0.000004                     -0.000007                   1.716828                1.690359              3.007209             3.259486               3.160992               0.252277              3.109848         17.978439       32.592277        7.737738      11.937675         -11.374694            
   Mg       12     20     32          -252.315408              -17.254201               -3.596127            -0.000002            -0.000001              -0.000001              -0.000003                  -0.000003                     -0.000006                   1.678275                1.766139              3.044145             3.364132               3.247833               0.319987              3.142502         20.165883       37.040575        6.145334       8.834170         -13.126447            
   Mg       12     22     34          -257.387686              -19.284598               -2.503866             0.176154             0.128102               0.142539               0.254119                   0.430287                      0.684406                   1.653661                1.541955              3.086929             3.478845               3.345768               0.391916              3.180924         22.234536       41.222140        4.190186       5.072278         -13.812853            
   Mg       12     24     36          -262.637615              -20.987883               -2.019019             0.321562             0.258150               0.275611               0.483025                   1.020467                      1.503492                   1.644166                1.551750              3.149974             3.613288               3.465738               0.463314              3.239157         24.187502       45.128713        4.171817       5.249929         -18.172069            
   Mg       12     26     38          -265.767718              -22.651683               -1.189466             0.336395             0.271610               0.287961               0.515382                   1.232681                      1.748063                   1.630828                1.461149              3.181224             3.719722               3.558485               0.538498              3.266594         25.910292       48.613447        3.071501       3.130103         -19.958816            
   Mg       12     28     40          -267.050922              -24.153047               -0.566076             0.308365             0.238995               0.255001               0.476026                   1.230032                      1.706059                   1.594668                1.368203              3.193282             3.817068               3.641170               0.623786              3.275385         27.212621       51.300783        2.056278       1.283204         -21.596651            
   Mg       12     30     42          -267.790703              -25.682017               -0.343413            -0.195151            -0.166041              -0.172172              -0.299926                  -0.956392                     -1.256318                   1.517997                1.353831              3.186218             3.901169               3.710979               0.714951              3.265537         28.411780       53.815565        1.730908       0.739781         -23.740564            
   Mg       12     32     44          -268.235016              -26.720897               -0.062885            -0.000011            -0.000006              -0.000007              -0.000016                  -0.000036                     -0.000053                   1.511044                1.369241              3.179603             3.991267               3.787195               0.811664              3.256114         29.251599       55.549864        1.583692       0.444313         -25.959878            
   Si       14     8      22          -138.669079                0.713831              -20.482625            -0.000002            -0.000001              -0.000002              -0.000004                  -0.000001                     -0.000005                   1.787364                2.610515              3.202995             2.709948               3.032993              -0.493047              3.315846          2.153731        0.629029       25.849189      46.549737         -13.417097            
   Si       14     10     24          -173.335431               -1.928797              -16.499456            -0.000041            -0.000051              -0.000045              -0.000070                  -0.000051                     -0.000121                   1.849698                1.807975              3.106376             2.831303               2.994834              -0.275073              3.220038          4.506353        5.249093       19.542421      34.666352          -6.995381            
   Si       14     12     26          -204.784232               -4.500801              -14.647807            -0.134328            -0.144389              -0.138749              -0.225060                  -0.189634                     -0.414693                   1.844448                1.844035              3.079973             2.945402               3.018609              -0.134571              3.191977          7.292034       10.849938       17.550406      31.448801          -8.397894            
   Si       14     14     28          -232.361166               -7.269729              -12.513600            -0.000013            -0.000013              -0.000013              -0.000022                  -0.000021                     -0.000042                   1.778033                1.897581              3.053538             3.019738               3.036685              -0.033800              3.163858         10.648022       17.736077       15.659275      27.576934         -10.126872            
   Si       14     16     30          -254.536272               -9.753341               -9.609346            -0.000003            -0.000002              -0.000002              -0.000005                  -0.000004                     -0.000009                   1.743682                1.790011              3.065088             3.124449               3.096889               0.059361              3.172393         13.228232       22.992709       12.931349      22.175106         -11.611183            
   Si       14     18     32          -271.173221              -12.090998               -7.614712            -0.000002            -0.000002              -0.000002              -0.000004                  -0.000004                     -0.000007                   1.744477                1.650404              3.095483             3.235844               3.175199               0.140361              3.199179         15.576644       27.691983       10.038682      16.636949         -11.329658            
   Si       14     20     34          -284.573799              -14.326660               -5.774814            -0.000002            -0.000001              -0.000001              -0.000003                  -0.000002                     -0.000005                   1.729490                1.733017              3.127139             3.331945               3.249177               0.204806              3.227250         17.833078       32.258391        8.391999      13.400578         -12.792561            
   Si       14     22     36          -293.491643              -16.433549               -4.186595            -0.000004            -0.000003              -0.000003              -0.000006                  -0.000010                     -0.000016                   1.714503                1.537781              3.151460             3.418626               3.317286               0.267166              3.248270         19.736061       36.103957        6.094321       8.917844         -12.876235            
   Si       14     24     38          -301.394782              -18.063572               -3.678440             0.186148             0.195835               0.192706               0.335895                   0.740537                      1.076432                   1.624312                1.542779              3.196343             3.534009               3.413494               0.337666              3.289313         21.012823       38.757167        5.491850       7.903139         -15.707096            
   Si       14     26     40          -307.875985              -19.752069               -2.853033             0.214704             0.220056               0.218458               0.394772                   0.949985                      1.344757                   1.573009                1.490278              3.226519             3.627852               3.492635               0.401333              3.316144         22.656052       42.108267        4.757130       6.481203         -16.938370            
   Si       14     28     42          -313.389541              -21.466420               -2.329141            -0.208570            -0.189984              -0.195121              -0.388646                  -0.926693                     -1.315339                   1.659548                1.473640              3.248120             3.716001               3.566866               0.467881              3.334679         24.796418       46.338619        4.238737       5.513556         -19.321823            
   Si       14     30     44          -317.158352              -22.950115               -1.620685            -0.164944            -0.148403              -0.152626              -0.308807                  -0.810582                     -1.119389                   1.613676                1.373917              3.255792             3.798930               3.634927               0.543138              3.339670         26.249661       49.367649        3.308184       3.768811         -21.807430            
   Si       14     32     46          -320.088574              -24.281036               -1.089679            -0.000002            -0.000001              -0.000001              -0.000003                  -0.000008                     -0.000011                   1.564470                1.332787              3.254814             3.888387               3.707041               0.633573              3.336232         27.464536       51.853558        2.818463       2.930222         -23.997871            
   Si       14     34     48          -321.332731              -25.273091                0.014508             0.000001             0.000000               0.000000               0.000001                   0.000003                      0.000004                   1.526381                1.423677              3.279393             4.010893               3.812066               0.731500              3.357746         28.270669       53.538537        2.000311       1.244157         -24.797715            
